thickness	StressThickness	R	T	P	Melting_T
62.0142	42.80556146	0.6	295	0.27	2559
70.194	48.02687806	0.6	295	0.27	2559
78.372	52.55947276	0.6	295	0.27	2559
86.5494	57.48456179	0.6	295	0.27	2559
94.7262	61.52345777	0.6	295	0.27	2559
102.9024	66.45308926	0.6	295	0.27	2559
111.078	71.34305058	0.6	295	0.27	2559
119.2518	75.37754279	0.6	295	0.27	2559
127.4286	79.94167723	0.6	295	0.27	2559
135.6024	83.95543549	0.6	295	0.27	2559
143.775	88.44996871	0.6	295	0.27	2559
151.947	93.26274686	0.6	295	0.27	2559
160.1196	97.02364833	0.6	295	0.27	2559
168.2904	100.504661	0.6	295	0.27	2559
176.4618	104.4506647	0.6	295	0.27	2559
184.6326	108.6946115	0.6	295	0.27	2559
192.8016	112.9487135	0.6	295	0.27	2559
200.9706	116.6416048	0.6	295	0.27	2559
209.139	119.9310506	0.6	295	0.27	2559
217.302	123.9116043	0.6	295	0.27	2559
225.4662	127.2216056	0.6	295	0.27	2559
233.631	131.3035795	0.6	295	0.27	2559
241.797	135.4184867	0.6	295	0.27	2559
249.9618	138.491853	0.6	295	0.27	2559
258.1248	142.3969485	0.6	295	0.27	2559
266.289	145.9682681	0.6	295	0.27	2559
274.4544	149.4721242	0.6	295	0.27	2559
282.6186	152.58748	0.6	295	0.27	2559
290.7804	156.3687306	0.6	295	0.27	2559
298.941	160.2927075	0.6	295	0.27	2559
307.1022	163.8121386	0.6	295	0.27	2559
315.2628	167.6670383	0.6	295	0.27	2559
323.424	170.7505879	0.6	295	0.27	2559
331.5846	173.9654948	0.6	295	0.27	2559
339.7428	177.2356979	0.6	295	0.27	2559
347.901	181.5268521	0.6	295	0.27	2559
356.058	184.2809579	0.6	295	0.27	2559
364.2174	187.814339	0.6	295	0.27	2559
372.3786	191.8963999	0.6	295	0.27	2559
380.5356	194.6420269	0.6	295	0.27	2559
388.695	197.9893764	0.6	295	0.27	2559
396.8544	201.985154	0.6	295	0.27	2559
