thickness	StressThickness	R	T	P	Melting_T
64.11744	-59.62585123	0.24	295	0.27	2938
73.28208	-67.51645723	0.24	295	0.27	2938
82.42296	-74.79279185	0.24	295	0.27	2938
91.5876	-80.96184852	0.24	295	0.27	2938
100.7844	-86.78498598	0.24	295	0.27	2938
109.94112	-92.23648722	0.24	295	0.27	2938
119.06544	-97.44675228	0.24	295	0.27	2938
128.21424	-102.4402234	0.24	295	0.27	2938
137.41896	-108.3347686	0.24	295	0.27	2938
146.55192	-114.1872999	0.24	295	0.27	2938
155.70072	-120.0822265	0.24	295	0.27	2938
164.88912	-125.7970262	0.24	295	0.27	2938
174.02184	-131.7796002	0.24	295	0.27	2938
183.1548	-138.3074292	0.24	295	0.27	2938
192.36768	-145.2249208	0.24	295	0.27	2938
201.53232	-152.3270479	0.24	295	0.27	2938
210.68904	-159.9649997	0.24	295	0.27	2938
219.88584	-168.1247047	0.24	295	0.27	2938
229.01064	-176.6324106	0.24	295	0.27	2938
238.77504	-185.8613621	0.24	295	0.27	2938
248.11536	-194.9448997	0.24	295	0.27	2938
257.35224	-203.8423051	0.24	295	0.27	2938
266.51712	-213.2453957	0.24	295	0.27	2938
275.7216	-223.3106808	0.24	295	0.27	2938
284.89464	-233.1093721	0.24	295	0.27	2938
294.13896	-244.0167904	0.24	295	0.27	2938
303.90744	-255.4842101	0.24	295	0.27	2938
313.11192	-266.437115	0.24	295	0.27	2938
322.31664	-277.1888504	0.24	295	0.27	2938
331.53744	-288.0197214	0.24	295	0.27	2938
340.72608	-299.0554265	0.24	295	0.27	2938
349.93848	-310.0576825	0.24	295	0.27	2938
359.11152	-321.3105764	0.24	295	0.27	2938
368.29224	-332.1217917	0.24	295	0.27	2938
377.48904	-343.6292012	0.24	295	0.27	2938
386.70168	-355.2583789	0.24	295	0.27	2938
396.9456	-368.3920841	0.24	295	0.27	2938
