thickness	StressThickness	R	T	P	Melting_T
69.5562	193.3847942	0.6	295	0.27	2180
77.7396	213.0601696	0.6	295	0.27	2180
85.923	231.5693305	0.6	295	0.27	2180
94.1064	250.3554141	0.6	295	0.27	2180
102.2874	267.5008997	0.6	295	0.27	2180
110.4648	283.7928787	0.6	295	0.27	2180
118.6446	301.0965211	0.6	295	0.27	2180
126.8268	317.7082461	0.6	295	0.27	2180
135.006	332.9172095	0.6	295	0.27	2180
143.1828	349.3303376	0.6	295	0.27	2180
151.3584	365.6380949	0.6	295	0.27	2180
159.5322	382.6711975	0.6	295	0.27	2180
167.7066	399.3901744	0.6	295	0.27	2180
175.8828	415.2920181	0.6	295	0.27	2180
184.0548	432.1130396	0.6	295	0.27	2180
192.2274	448.1391457	0.6	295	0.27	2180
200.3994	464.2059794	0.6	295	0.27	2180
208.5678	479.8362	0.6	295	0.27	2180
