thickness	StressThickness	R	T	P	Melting_T
63.7434	-29.36127629	0.36	295	0.27	2896
68.62536	-31.99864541	0.36	295	0.27	2896
73.50984	-35.85963534	0.36	295	0.27	2896
78.39	-39.68821573	0.36	295	0.27	2896
83.26908	-42.36279245	0.36	295	0.27	2896
88.15032	-46.04484542	0.36	295	0.27	2896
93.0276	-48.6519734	0.36	295	0.27	2896
97.9074	-51.55546196	0.36	295	0.27	2896
102.7908	-54.59408429	0.36	295	0.27	2896
107.67384	-57.31878498	0.36	295	0.27	2896
112.5612	-59.91044828	0.36	295	0.27	2896
117.45036	-63.02946459	0.36	295	0.27	2896
122.3388	-66.09086474	0.36	295	0.27	2896
127.22868	-68.20113535	0.36	295	0.27	2896
132.11604	-70.86165084	0.36	295	0.27	2896
137.0052	-73.70981992	0.36	295	0.27	2896
141.89112	-76.08219247	0.36	295	0.27	2896
146.7774	-79.3553388	0.36	295	0.27	2896
151.6626	-80.4916527	0.36	295	0.27	2896
156.55032	-83.32327206	0.36	295	0.27	2896
162.13464	-85.95765427	0.36	295	0.27	2896
168.41628	-88.9817607	0.36	295	0.27	2896
175.39632	-91.52568199	0.36	295	0.27	2896
181.67904	-95.39091972	0.36	295	0.27	2896
187.95708	-97.70835877	0.36	295	0.27	2896
192.84192	-98.87596821	0.36	295	0.27	2896
197.72496	-101.6222374	0.36	295	0.27	2896
202.61088	-103.4358758	0.36	295	0.27	2896
207.4914	-105.1150594	0.36	295	0.27	2896
212.373	-106.9816656	0.36	295	0.27	2896
217.25712	-108.816108	0.36	295	0.27	2896
222.13944	-110.2552471	0.36	295	0.27	2896
227.02248	-112.1714862	0.36	295	0.27	2896
231.9048	-113.8258043	0.36	295	0.27	2896
237.48264	-115.8176416	0.36	295	0.27	2896
243.75708	-118.1960156	0.36	295	0.27	2896
250.03512	-120.1652991	0.36	295	0.27	2896
254.91348	-122.2598912	0.36	295	0.27	2896
259.79292	-124.3543714	0.36	295	0.27	2896
266.75604	-126.6116189	0.36	295	0.27	2896
273.72276	-127.4070243	0.36	295	0.27	2896
281.38068	-130.4043574	0.36	295	0.27	2896
286.24968	-131.5297114	0.36	295	0.27	2896
291.1194	-132.3628726	0.36	295	0.27	2896
295.99056	-133.6300743	0.36	295	0.27	2896
300.8628	-135.059118	0.36	295	0.27	2896
305.73432	-135.9880505	0.36	295	0.27	2896
310.6116	-137.0781175	0.36	295	0.27	2896
315.48744	-137.9913768	0.36	295	0.27	2896
320.36328	-139.3184802	0.36	295	0.27	2896
325.23732	-139.2465845	0.36	295	0.27	2896
330.1092	-140.2781762	0.36	295	0.27	2896
334.98144	-141.467648	0.36	295	0.27	2896
339.85296	-142.9906299	0.36	295	0.27	2896
344.72484	-143.1757032	0.36	295	0.27	2896
349.59924	-144.5542244	0.36	295	0.27	2896
354.46572	-144.9169144	0.36	295	0.27	2896
359.33616	-145.9360408	0.36	295	0.27	2896
364.20732	-146.2630245	0.36	295	0.27	2896
369.07848	-146.2426495	0.36	295	0.27	2896
373.94856	-147.5812554	0.36	295	0.27	2896
380.21004	-148.2546893	0.36	295	0.27	2896
385.08372	-148.9147167	0.36	295	0.27	2896
390.64572	-149.3494921	0.36	295	0.27	2896
397.60308	-150.344856	0.36	295	0.27	2896
