thickness,StressThickness,R,T,P,Melting_T
41.8012,33.364706,0.1,295,0.27,2183
44.7028,37.47068333,0.1,295,0.27,2183
47.6057,42.06113933,0.1,295,0.27,2183
50.5071,46.52246933,0.1,295,0.27,2183
53.4062,50.49119133,0.1,295,0.27,2183
56.3067,54.86523933,0.1,295,0.27,2183
59.2051,59.223626,0.1,295,0.27,2183
62.1048,63.68340267,0.1,295,0.27,2183
65.0034,68.22521933,0.1,295,0.27,2183
67.9009,72.52941,0.1,295,0.27,2183
70.8007,76.80831467,0.1,295,0.27,2183
73.8924,80.86162067,0.1,295,0.27,2183
76.7913,85.316498,0.1,295,0.27,2183
79.6901,89.082106,0.1,295,0.27,2183
82.5889,92.87631667,0.1,295,0.27,2183
85.4845,96.60979667,0.1,295,0.27,2183
88.3798,100.8691633,0.1,295,0.27,2183
91.2754,104.43458,0.1,295,0.27,2183
94.1701,107.83676,0.1,295,0.27,2183
97.0638,111.32898,0.1,295,0.27,2183
99.9572,114.90026,0.1,295,0.27,2183
102.8503,118.5995867,0.1,295,0.27,2183
105.7439,122.1387933,0.1,295,0.27,2183
108.6363,125.2013667,0.1,295,0.27,2183
111.5303,128.72632,0.1,295,0.27,2183
114.4222,132.01402,0.1,295,0.27,2183
117.3131,135.1201933,0.1,295,0.27,2183
120.2041,137.8284933,0.1,295,0.27,2183
123.094,141.3753067,0.1,295,0.27,2183
125.9838,144.3629,0.1,295,0.27,2183
128.8737,147.71096,0.1,295,0.27,2183
131.7652,150.76134,0.1,295,0.27,2183
134.656,153.3418933,0.1,295,0.27,2183
137.5477,156.0185533,0.1,295,0.27,2183
140.4379,159.156,0.1,295,0.27,2183
143.3254,161.82514,0.1,295,0.27,2183
146.2145,164.3447667,0.1,295,0.27,2183
149.1013,167.2035467,0.1,295,0.27,2183
151.9886,169.9443067,0.1,295,0.27,2183
154.8778,172.5631133,0.1,295,0.27,2183
157.7679,175.2881267,0.1,295,0.27,2183
160.6578,177.6130933,0.1,295,0.27,2183
163.5463,179.9329667,0.1,295,0.27,2183
166.4359,182.2971467,0.1,295,0.27,2183
169.325,184.95938,0.1,295,0.27,2183
172.2149,187.11956,0.1,295,0.27,2183
175.1053,189.4601733,0.1,295,0.27,2183
177.9934,191.5010067,0.1,295,0.27,2183
180.8823,194.08654,0.1,295,0.27,2183
183.7708,196.0814867,0.1,295,0.27,2183
