thickness	StressThickness	R	T	P	Melting_T
59.75046	-16.94415408	0.27	295	0.27	2682
65.51226	-18.78427646	0.27	295	0.27	2682
71.26974	-20.11592954	0.27	295	0.27	2682
77.02803	-21.41063645	0.27	295	0.27	2682
82.78524	-22.90302427	0.27	295	0.27	2682
88.54434	-23.86984568	0.27	295	0.27	2682
94.29966	-25.39923749	0.27	295	0.27	2682
100.05363	-26.89455907	0.27	295	0.27	2682
105.80463	-28.72110002	0.27	295	0.27	2682
112.08159	-29.98016318	0.27	295	0.27	2682
118.35666	-31.48114202	0.27	295	0.27	2682
127.24533	-33.23709117	0.27	295	0.27	2682
135.60534	-35.59241706	0.27	295	0.27	2682
143.96616	-38.06698888	0.27	295	0.27	2682
152.85213	-39.72266666	0.27	295	0.27	2682
160.69077	-42.50849619	0.27	295	0.27	2682
166.43961	-43.98851106	0.27	295	0.27	2682
172.18629	-44.83556459	0.27	295	0.27	2682
177.9327	-46.98022107	0.27	295	0.27	2682
183.67668	-48.3464072	0.27	295	0.27	2682
189.42309	-50.00368242	0.27	295	0.27	2682
197.25903	-52.2203237	0.27	295	0.27	2682
205.61661	-54.57493433	0.27	295	0.27	2682
211.36113	-56.52866281	0.27	295	0.27	2682
217.10889	-58.28647981	0.27	295	0.27	2682
222.85503	-59.65408009	0.27	295	0.27	2682
228.59928	-62.12985368	0.27	295	0.27	2682
234.86598	-63.31179729	0.27	295	0.27	2682
240.60888	-65.48811454	0.27	295	0.27	2682
247.39749	-67.83257644	0.27	295	0.27	2682
253.14012	-69.30994397	0.27	295	0.27	2682
258.88491	-71.27793094	0.27	295	0.27	2682
264.63078	-73.29970348	0.27	295	0.27	2682
271.94076	-75.62309051	0.27	295	0.27	2682
278.7291	-78.24117716	0.27	295	0.27	2682
286.038	-80.15424306	0.27	295	0.27	2682
293.86962	-83.11993609	0.27	295	0.27	2682
301.17528	-84.98791051	0.27	295	0.27	2682
309.00123	-87.97225671	0.27	295	0.27	2682
314.73954	-89.81269742	0.27	295	0.27	2682
320.48082	-92.06937541	0.27	295	0.27	2682
327.26295	-93.92000241	0.27	295	0.27	2682
333.52506	-96.7335597	0.27	295	0.27	2682
339.26472	-98.39570927	0.27	295	0.27	2682
345.00276	-100.2183892	0.27	295	0.27	2682
350.74269	-102.7103862	0.27	295	0.27	2682
356.48289	-105.2267886	0.27	295	0.27	2682
362.22012	-106.57901	0.27	295	0.27	2682
367.96086	-109.2917885	0.27	295	0.27	2682
373.69917	-111.0589366	0.27	295	0.27	2682
379.44099	-113.0956418	0.27	295	0.27	2682
385.18254	-114.8901173	0.27	295	0.27	2682
390.92004	-117.1907834	0.27	295	0.27	2682
396.65943	-119.1332319	0.27	295	0.27	2682
