thickness	StressThickness	R	T	P	Melting_T
59.89032	-96.45247072	0.36	295	0.27	2939
66.20184	-107.1177854	0.36	295	0.27	2939
72.51048	-118.6604619	0.36	295	0.27	2939
78.81768	-128.5070371	0.36	295	0.27	2939
85.1238	-139.5513839	0.36	295	0.27	2939
91.4274	-149.9800767	0.36	295	0.27	2939
97.73136	-160.4228534	0.36	295	0.27	2939
104.03388	-171.3060644	0.36	295	0.27	2939
110.33568	-181.4334581	0.36	295	0.27	2939
116.63856	-191.3521496	0.36	295	0.27	2939
122.94288	-201.1773461	0.36	295	0.27	2939
129.24396	-210.470403	0.36	295	0.27	2939
135.54324	-219.9293832	0.36	295	0.27	2939
141.84036	-229.3701208	0.36	295	0.27	2939
148.14072	-239.0467778	0.36	295	0.27	2939
154.4382	-247.9915124	0.36	295	0.27	2939
160.72956	-257.4781583	0.36	295	0.27	2939
167.0274	-266.4176443	0.36	295	0.27	2939
173.32272	-275.6526453	0.36	295	0.27	2939
180.32328	-285.3673107	0.36	295	0.27	2939
186.6168	-295.4996415	0.36	295	0.27	2939
193.61484	-307.0251346	0.36	295	0.27	2939
199.91304	-315.5825992	0.36	295	0.27	2939
206.20728	-325.0232171	0.36	295	0.27	2939
212.49972	-334.1830304	0.36	295	0.27	2939
218.79468	-343.6437655	0.36	295	0.27	2939
225.08604	-352.7819894	0.36	295	0.27	2939
231.3792	-361.4385446	0.36	295	0.27	2939
237.66588	-370.6480107	0.36	295	0.27	2939
244.65276	-380.9624698	0.36	295	0.27	2939
250.94088	-389.947567	0.36	295	0.27	2939
257.2254	-398.5470321	0.36	295	0.27	2939
263.51172	-407.6578796	0.36	295	0.27	2939
269.79768	-416.4997476	0.36	295	0.27	2939
276.08256	-425.6197969	0.36	295	0.27	2939
283.06296	-436.0655278	0.36	295	0.27	2939
292.83264	-449.1217136	0.36	295	0.27	2939
299.11284	-459.3081833	0.36	295	0.27	2939
305.39268	-467.8494784	0.36	295	0.27	2939
311.6754	-476.2245169	0.36	295	0.27	2939
317.95524	-484.9088577	0.36	295	0.27	2939
324.23148	-493.2498345	0.36	295	0.27	2939
330.50772	-502.194712	0.36	295	0.27	2939
336.78432	-511.4020556	0.36	295	0.27	2939
343.05732	-519.5505576	0.36	295	0.27	2939
349.3314	-528.8071683	0.36	295	0.27	2939
357.003	-538.4139761	0.36	295	0.27	2939
363.27816	-546.9351347	0.36	295	0.27	2939
369.56016	-556.0457185	0.36	295	0.27	2939
375.83856	-565.0550481	0.36	295	0.27	2939
382.11444	-573.9045238	0.36	295	0.27	2939
389.09196	-583.9158097	0.36	295	0.27	2939
395.3646	-591.8052903	0.36	295	0.27	2939
401.63256	-601.2131277	0.36	295	0.27	2939
408.5946	-610.5120324	0.36	295	0.27	2939
