thickness,StressThickness,R,T,P,Melting_T
113.502,-185.7362675,0.6,295,0.27,3695
129.9306,-218.189624,0.6,295,0.27,3695
145.1676,-247.0172205,0.6,295,0.27,3695
160.4016,-274.6704318,0.6,295,0.27,3695
175.635,-301.5958156,0.6,295,0.27,3695
193.203,-331.2882472,0.6,295,0.27,3695
208.4208,-359.5868959,0.6,295,0.27,3695
223.6326,-388.7808985,0.6,295,0.27,3695
238.8396,-418.6879267,0.6,295,0.27,3695
254.0466,-448.6503882,0.6,295,0.27,3695
271.5744,-473.0808632,0.6,295,0.27,3695
286.7706,-494.7929466,0.6,295,0.27,3695
301.9794,-517.5852469,0.6,295,0.27,3695
317.1792,-541.9839638,0.6,295,0.27,3695
332.376,-568.4026322,0.6,295,0.27,3695
347.5716,-594.9973058,0.6,295,0.27,3695
362.7576,-621.9907915,0.6,295,0.27,3695
377.94,-649.2105358,0.6,295,0.27,3695
393.1266,-675.6404385,0.6,295,0.27,3695
