material,data_source,thickness,stressthickness,R,T,P
Ag,Abermann,4.515358362,0.006794627,0.1,300,0
Ag,Abermann,15.51194539,1.120455898,0.1,300,0
Ag,Abermann,24.69624573,2.088251871,0.1,300,0
Ag,Abermann,35.17064846,1.339793969,0.1,300,0
Ag,Abermann,45.42235495,0.641908288,0.1,300,0
Ag,Abermann,54.75255973,0.144033566,0.1,300,0
Ag,Abermann,65.11945392,-0.235103485,0.1,300,0
Ag,Abermann,75.87030717,-0.680949995,0.1,300,0
Ag,Abermann,85.00853242,-1.098451639,0.1,300,0
Ag,Abermann,94.37713311,-1.470199142,0.1,300,0
Ag,Abermann,100.1365188,-1.702492407,0.1,300,0
Ag,Chason,4.916672286,0.359947143,0.2,193,0
Ag,Chason,15.00638462,1.464383077,0.2,193,0
Ag,Chason,24.98064286,3.638892857,0.2,193,0
Ag,Chason,35.07746154,6.557207692,0.2,193,0
Ag,Chason,44.94958333,9.810958333,0.2,193,0
Ag,Chason,55.08192857,13.62657143,0.2,193,0
Ag,Chason,65.12515385,17.21623077,0.2,193,0
Ag,Chason,75.08992857,20.86392857,0.2,193,0
Ag,Chason,85.02146154,24.72669231,0.2,193,0
Ag,Chason,94.98121429,28.60528571,0.2,193,0
Ag,Chason,5.08236425,0.114741639,0.2,223,0
Ag,Chason,14.9669,0.934835667,0.2,223,0
Ag,Chason,25.02723333,2.624406667,0.2,223,0
Ag,Chason,35.36425926,5.370477778,0.2,223,0
Ag,Chason,45.08953333,7.62713,0.2,223,0
Ag,Chason,55.10796667,9.25168,0.2,223,0
Ag,Chason,65.18851852,10.5550037,0.2,223,0
Ag,Chason,74.89635714,11.69753571,0.2,223,0
Ag,Chason,85.00082759,12.76006897,0.2,223,0
Ag,Chason,95.55763636,13.94568182,0.2,223,0
Ag,Chason,4.835872276,-0.021210828,0.2,238,0
Ag,Chason,14.92956667,0.598175667,0.2,238,0
Ag,Chason,25.313,1.866569231,0.2,238,0
Ag,Chason,35.02382143,3.030689286,0.2,238,0
Ag,Chason,44.98028571,4.365175,0.2,238,0
Ag,Chason,54.8888,5.023366667,0.2,238,0
Ag,Chason,64.95233333,5.277263333,0.2,238,0
Ag,Chason,75.01583333,5.36534,0.2,238,0
Ag,Chason,85.0795,5.422916667,0.2,238,0
Ag,Chason,94.97527586,5.438096552,0.2,238,0
Ag,Chason,4.927421793,0.061132714,0.2,253,0
Ag,Chason,14.90626667,0.656236333,0.2,253,0
Ag,Chason,24.8715,1.872743333,0.2,253,0
Ag,Chason,35.00390323,2.710516129,0.2,253,0
Ag,Chason,45.13246667,2.774296667,0.2,253,0
Ag,Chason,55.097,2.566976667,0.2,253,0
Ag,Chason,65.06396667,2.336656667,0.2,253,0
Ag,Chason,75.03066667,2.060723333,0.2,253,0
Ag,Chason,84.99543333,1.83277,0.2,253,0
Ag,Chason,94.98486207,1.670534483,0.2,253,0
Ag,Chason,4.85732,0.013930603,0.2,303,0
Ag,Chason,14.86833333,0.210339667,0.2,303,0
Ag,Chason,25.11556667,1.467089333,0.2,303,0
Ag,Chason,35.13436667,2.136353333,0.2,303,0
Ag,Chason,45.14453333,1.552063333,0.2,303,0
Ag,Chason,55.1544,1.025720333,0.2,303,0
Ag,Chason,64.99768966,0.605011379,0.2,303,0
Ag,Chason,74.8408,0.245547667,0.2,303,0
Ag,Chason,84.8509,-0.065168733,0.2,303,0
Ag,Chason,94.44692593,-0.323793704,0.2,303,0
Ag,Flototto,3.975535168,-0.028028969,0.035,325,0
Ag,Flototto,14.80122324,-0.08417234,0.035,325,0
Ag,Flototto,26.05504587,0.088956652,0.035,325,0
Ag,Flototto,35.50458716,0.34785166,0.035,325,0
Ag,Flototto,43.76146789,0.757048316,0.035,325,0
Ag,Flototto,54.86238532,0.965977498,0.035,325,0
Ag,Flototto,66.33027523,0.727238374,0.035,325,0
Ag,Flototto,75.59633028,0.416629426,0.035,325,0
Ag,Flototto,85.2293578,0.084569938,0.035,325,0
Ag,Flototto,95.04587156,-0.225979864,0.035,325,0
Ag,Flototto,105.6880734,-0.493461003,0.035,325,0
Ag,Flototto,115.0458716,-0.696610236,0.035,325,0
Ag,Flototto,123.5779817,-0.910593176,0.035,325,0
Ag,Flototto,136.5137615,-1.188572856,0.035,325,0
Ag,Flototto,2.749299615,-0.169090909,0.065,325,0
Ag,Flototto,14.97560402,-0.271428571,0.065,325,0
Ag,Flototto,25.83898186,-0.201623377,0.065,325,0
Ag,Flototto,35.66134718,-0.012662338,0.065,325,0
Ag,Flototto,44.78101438,0.269025974,0.065,325,0
Ag,Flototto,54.37899157,0.558225108,0.065,325,0
Ag,Flototto,65.04940303,0.712337662,0.065,325,0
Ag,Flototto,75.21240011,0.656883117,0.065,325,0
Ag,Flototto,85.29291624,0.487012987,0.065,325,0
Ag,Flototto,94.62234653,0.291428571,0.065,325,0
Ag,Flototto,104.5476638,0.102597403,0.065,325,0
Ag,Flototto,114.5977367,-0.062824675,0.065,325,0
Ag,Koch,5.603139614,1.172557394,0.1,110,0
Ag,Koch,14.83178946,3.54866287,0.1,110,0
Ag,Koch,24.37668475,7.094212127,0.1,110,0
Ag,Koch,34.85100982,11.35889298,0.1,110,0
Ag,Koch,44.83418123,15.46507043,0.1,110,0
Ag,Koch,55.491757,20.0165808,0.1,110,0
Ag,Koch,66.23103012,24.63394033,0.1,110,0
Ag,Koch,74.82318482,28.14819364,0.1,110,0
Ag,Koch,84.07957707,32.08848588,0.1,110,0
Ag,Koch,94.46164653,36.36353646,0.1,110,0
Ag,Koch,100.1904799,38.52819813,0.1,110,0
Ag,Koch,5.061076384,0.102652282,0.1,300,0
Ag,Koch,14.61890017,1.326981131,0.1,300,0
Ag,Koch,24.2164791,1.184390561,0.1,300,0
Ag,Koch,34.15738149,0.604206215,0.1,300,0
Ag,Koch,44.86652402,0.073428487,0.1,300,0
Ag,Koch,56.15579703,-0.342519032,0.1,300,0
Ag,Koch,65.92500178,-0.69514384,0.1,300,0
Ag,Koch,74.43012254,-0.944610001,0.1,300,0
Ag,Koch,84.02820424,-1.20987766,0.1,300,0
Ag,Koch,93.18183287,-1.361931173,0.1,300,0
Ag,Koch,100.1493242,-1.429805792,0.1,300,0
Ag,Koch,6.291079408,-0.018085534,0.1,400,0
Ag,Koch,15.64851146,0.101826294,0.1,400,0
Ag,Koch,24.32044577,0.816520898,0.1,400,0
Ag,Koch,34.92466995,0.885823039,0.1,400,0
Ag,Koch,46.04269421,0.587901942,0.1,400,0
Ag,Koch,55.94829462,0.288068504,0.1,400,0
Ag,Koch,64.38521755,0.012206658,0.1,400,0
Ag,Koch,73.64166367,-0.227311741,0.1,400,0
Ag,Koch,83.64943513,-0.456882379,0.1,400,0
Ag,Koch,93.58832643,-0.546358365,0.1,400,0
Ag,Koch,100.146092,-0.641167357,0.1,400,0
Ag,Koch,4.857075444,-0.121118488,0.1,520,0
Ag,Koch,16.33564323,-0.891657024,0.1,520,0
Ag,Koch,25.15810477,-3.572273541,0.1,520,0
Ag,Koch,35.74931066,-4.493177703,0.1,520,0
Ag,Koch,45.3101511,-4.004911393,0.1,520,0
Ag,Koch,55.48581349,-3.533200744,0.1,520,0
Ag,Koch,64.80948779,-3.509731928,0.1,520,0
Ag,Koch,74.47533637,-3.64345211,0.1,520,0
Ag,Koch,84.68780907,-3.82012364,0.1,520,0
Ag,Koch,95.51596562,-4.223654413,0.1,520,0
Ag,Koch,4.754994171,-0.213287911,0.1,570,0
Ag,Koch,14.01097342,-0.33889187,0.1,570,0
Ag,Koch,26.86010574,-2.193844167,0.1,570,0
Ag,Koch,35.92415065,-5.487469052,0.1,570,0
Ag,Koch,44.43905757,-8.124757142,0.1,570,0
Ag,Koch,55.71838282,-10.28011748,0.1,570,0
Ag,Koch,66.17344443,-11.31515155,0.1,570,0
Ag,Koch,75.80442198,-11.27367262,0.1,570,0
Ag,Koch,84.1019326,-10.8662633,0.1,570,0
Ag,Koch,95.67785916,-10.39234403,0.1,570,0
Ag,Seel,4.631307712,-0.026368841,0.2,323,0
Ag,Seel,14.99792452,0.042653827,0.2,323,0
Ag,Seel,25.17641622,0.332758006,0.2,323,0
Ag,Seel,34.9536475,0.924824367,0.2,323,0
Ag,Seel,45.58476463,1.044720175,0.2,323,0
Ag,Seel,54.95939098,0.804063251,0.2,323,0
Ag,Seel,64.62637354,0.57692139,0.2,323,0
Ag,Seel,74.3773545,0.421148213,0.2,323,0
Ag,Seel,85.46815893,0.275914976,0.2,323,0
Ag,Seel,95.52478442,0.160774704,0.2,323,0
Ag,Seel,5.309873826,-0.026473007,0.2,473,0
Ag,Seel,14.93810747,0.036906431,0.2,473,0
Ag,Seel,24.4264221,0.157873137,0.2,473,0
Ag,Seel,34.60192459,0.447721927,0.2,473,0
Ag,Seel,44.26236088,0.792273322,0.2,473,0
Ag,Seel,55.47702869,0.974762298,0.2,473,0
Ag,Seel,64.83684599,0.968848145,0.2,473,0
Ag,Seel,74.17802962,0.889380566,0.2,473,0
