material,Tm_K,electro_negative,data_source,data_reference_doi,R,T,P,deposition_method,Crystal_Structure,Alloy_type,process_pressure,chamber_base_pressure_Pa,target_substrate_distance_cm,number_of_targets,target_power,Ar_flow_rate(sccm),substrate_type,substrate_prep,substrate_rotation ,Temperature_control,notation
Ag,1234.93,,Chason,10.1063/1.4704683,0.2,193,0,Thermal evaporation,FCC,Single element,,,,,,,oxidized Si,,,,
Ag,1234.93,,Chason,10.1063/1.4704683,0.2,223,0,Thermal evaporation,FCC,Single element,,,,,,,oxidized Si,,,,
Ag,1234.93,,Chason,10.1063/1.4704683,0.2,238,0,Thermal evaporation,FCC,Single element,,,,,,,oxidized Si,,,,
Ag,1234.93,,Chason,10.1063/1.4704683,0.2,253,0,Thermal evaporation,FCC,Single element,,,,,,,oxidized Si,,,,
Ag,1234.93,,Chason,10.1063/1.4704683,0.2,303,0,Thermal evaporation,FCC,Single element,,,,,,,oxidized Si,,,,
Ag,1234.93,,Koch,10.1103/PhysRevB.44.3369,0.1,110,0,Thermal evaporation,FCC,Single element,2.00E-07,1.00E-08,,,,,mica(001),dehydroxylated,,,
Ag,1234.93,,Koch,10.1103/PhysRevB.44.3369,0.1,300,0,Thermal evaporation,FCC,Single element,2.00E-07,1.00E-08,,,,,mica(001),dehydroxylated,,,
Ag,1234.93,,Koch,10.1103/PhysRevB.44.3369,0.1,400,0,Thermal evaporation,FCC,Single element,2.00E-07,1.00E-08,,,,,mica(001),dehydroxylated,,,
Ag,1234.93,,Koch,10.1103/PhysRevB.44.3369,0.1,520,0,Thermal evaporation,FCC,Single element,2.00E-07,1.00E-08,,,,,mica(001),dehydroxylated,,,
Ag,1234.93,,Koch,10.1103/PhysRevB.44.3369,0.1,570,0,Thermal evaporation,FCC,Single element,2.00E-07,1.00E-08,,,,,mica(001),dehydroxylated,,,
Ag,1234.93,,Abermann,10.1016/0040-6090(79)90306-7,0.25,300,0,Thermal evaporation,FCC,Single element,,2.70E-05,20,,,,SiO layer,,,,
Ag,1234.93,,Abermann,10.1016/0040-6090(86)90303-2,0.1,300,0,Thermal evaporation,FCC,Single element,4.00E-07,4.00E-08,20,,,,MgF2,,,TRUE,
Ag,1234.93,,Flototto,10.1063/1.4746739,0.035,325,0,Thermal evaporation,FCC,Single element,,3.00E-08,,,,,Si (001) native oxide,"degassed(heating, MBE)",,,
