thickness	StressThickness	R	T	P	Melting_T
64.09188	180.15182	0.36	295	0.27	2180
75.34044	206.4290704	0.36	295	0.27	2180
85.89564	230.4772756	0.36	295	0.27	2180
96.43608	254.0327697	0.36	295	0.27	2180
106.96968	277.1531865	0.36	295	0.27	2180
117.50724	299.1641484	0.36	295	0.27	2180
128.034	322.0437836	0.36	295	0.27	2180
138.56472	343.853396	0.36	295	0.27	2180
149.09724	365.2788101	0.36	295	0.27	2180
159.6222	385.7653775	0.36	295	0.27	2180
170.136	404.6871959	0.36	295	0.27	2180
181.35252	423.0052175	0.36	295	0.27	2180
206.604	456.5901706	0.36	295	0.27	2180
217.12644	477.8703622	0.36	295	0.27	2180
227.63736	493.0492474	0.36	295	0.27	2180
