thickness	StressThickness	R	T	P	Melting_T
60.3292	-12.08465484	0.2	295	0.27	2896
66.9194	-14.80281813	0.2	295	0.27	2896
73.509	-16.5291616	0.2	295	0.27	2896
80.097	-18.25581421	0.2	295	0.27	2896
86.685	-19.55716963	0.2	295	0.27	2896
93.2746	-21.41748104	0.2	295	0.27	2896
99.864	-22.49832327	0.2	295	0.27	2896
106.451	-23.64152989	0.2	295	0.27	2896
113.0386	-24.97308416	0.2	295	0.27	2896
119.623	-25.36951919	0.2	295	0.27	2896
126.2102	-25.61839323	0.2	295	0.27	2896
132.7948	-25.95939653	0.2	295	0.27	2896
139.3796	-25.99214881	0.2	295	0.27	2896
145.9638	-25.76194527	0.2	295	0.27	2896
152.5482	-25.37550669	0.2	295	0.27	2896
159.1288	-24.66992188	0.2	295	0.27	2896
165.711	-24.12276867	0.2	295	0.27	2896
172.2926	-23.39564171	0.2	295	0.27	2896
178.8756	-22.28005422	0.2	295	0.27	2896
185.458	-21.37757292	0.2	295	0.27	2896
192.0402	-20.69635575	0.2	295	0.27	2896
198.6226	-19.33958071	0.2	295	0.27	2896
205.2062	-18.31343814	0.2	295	0.27	2896
211.789	-17.39544438	0.2	295	0.27	2896
218.3712	-15.7841296	0.2	295	0.27	2896
224.9518	-13.98098744	0.2	295	0.27	2896
231.5336	-12.48423257	0.2	295	0.27	2896
238.1142	-10.65058329	0.2	295	0.27	2896
244.6934	-9.072555712	0.2	295	0.27	2896
251.2756	-7.573865915	0.2	295	0.27	2896
257.8644	-5.353474475	0.2	295	0.27	2896
264.451	-3.413354707	0.2	295	0.27	2896
271.035	-1.424676369	0.2	295	0.27	2896
277.6204	0.905222596	0.2	295	0.27	2896
284.1966	2.78089364	0.2	295	0.27	2896
290.7786	5.389039801	0.2	295	0.27	2896
297.3674	7.44162188	0.2	295	0.27	2896
303.9524	9.665954678	0.2	295	0.27	2896
310.539	12.38215259	0.2	295	0.27	2896
317.1246	14.88224169	0.2	295	0.27	2896
323.7124	16.951472	0.2	295	0.27	2896
330.295	19.71174525	0.2	295	0.27	2896
336.878	22.42622917	0.2	295	0.27	2896
343.4628	24.85328555	0.2	295	0.27	2896
350.05	27.82319319	0.2	295	0.27	2896
356.6356	29.96663268	0.2	295	0.27	2896
363.2218	32.75075571	0.2	295	0.27	2896
369.8028	35.83505863	0.2	295	0.27	2896
376.3882	38.38220039	0.2	295	0.27	2896
382.977	41.19832842	0.2	295	0.27	2896
389.5606	44.09041559	0.2	295	0.27	2896
396.143	46.73979732	0.2	295	0.27	2896
