thickness,StressThickness,R,T,P,Melting_T
63.03456,84.27996358,0.12,295,0.27,2183
69.75684,92.91175991,0.12,295,0.27,2183
76.70616,99.78740964,0.12,295,0.27,2183
83.42664,106.6839286,0.12,295,0.27,2183
90.15264,113.3428592,0.12,295,0.27,2183
96.87288,119.8154989,0.12,295,0.27,2183
103.59048,126.2855433,0.12,295,0.27,2183
110.30436,132.2951355,0.12,295,0.27,2183
117.01656,138.1916784,0.12,295,0.27,2183
123.73032,144.233301,0.12,295,0.27,2183
130.4436,149.8763466,0.12,295,0.27,2183
137.15628,155.6590284,0.12,295,0.27,2183
143.86608,161.7480759,0.12,295,0.27,2183
150.57624,167.1716103,0.12,295,0.27,2183
157.28796,173.0638774,0.12,295,0.27,2183
163.99944,178.8843552,0.12,295,0.27,2183
170.70576,184.5538644,0.12,295,0.27,2183
177.41112,190.2257884,0.12,295,0.27,2183
184.11408,195.6074551,0.12,295,0.27,2183
190.81824,201.1127668,0.12,295,0.27,2183
197.52084,206.923008,0.12,295,0.27,2183
204.22356,212.5497066,0.12,295,0.27,2183
210.9264,217.9001868,0.12,295,0.27,2183
217.85832,223.9881268,0.12,295,0.27,2183
224.55816,229.6687377,0.12,295,0.27,2183
231.26004,235.2508315,0.12,295,0.27,2183
237.963,240.6036526,0.12,295,0.27,2183
244.665,246.3703405,0.12,295,0.27,2183
251.82672,252.2751912,0.12,295,0.27,2183
258.5256,257.8769272,0.12,295,0.27,2183
265.22184,263.8404158,0.12,295,0.27,2183
271.91736,269.1196142,0.12,295,0.27,2183
278.61192,274.9005937,0.12,295,0.27,2183
285.30888,279.986512,0.12,295,0.27,2183
292.00596,285.5073874,0.12,295,0.27,2183
298.70064,291.0607225,0.12,295,0.27,2183
305.39316,295.9468323,0.12,295,0.27,2183
312.09084,301.5550369,0.12,295,0.27,2183
318.78852,307.0779106,0.12,295,0.27,2183
325.48104,311.952146,0.12,295,0.27,2183
332.17392,316.7275133,0.12,295,0.27,2183
338.86896,321.90479,0.12,295,0.27,2183
345.5616,326.5902224,0.12,295,0.27,2183
352.25424,331.3371103,0.12,295,0.27,2183
358.94796,336.1592807,0.12,295,0.27,2183
365.64108,340.7932616,0.12,295,0.27,2183
372.3324,345.5152352,0.12,295,0.27,2183
379.02528,349.7252463,0.12,295,0.27,2183
385.7178,354.6639699,0.12,295,0.27,2183
392.40984,359.0252337,0.12,295,0.27,2183
399.09996,363.3030674,0.12,295,0.27,2183
