thickness,StressThickness,R,T,P,Melting_T
128.05524,-178.3377018,0.36,295,0.27,3695
142.79076,-205.1765225,0.36,295,0.27,3695
157.52268,-231.3526496,0.36,295,0.27,3695
172.95192,-257.5022999,0.36,295,0.27,3695
188.37684,-283.9630427,0.36,295,0.27,3695
204.4764,-311.2004205,0.36,295,0.27,3695
219.18024,-336.117984,0.36,295,0.27,3695
233.87868,-360.3702895,0.36,295,0.27,3695
248.5818,-384.3212478,0.36,295,0.27,3695
263.97252,-408.2994293,0.36,295,0.27,3695
279.3726,-433.0628413,0.36,295,0.27,3695
294.06888,-458.1602975,0.36,295,0.27,3695
308.74932,-481.4695491,0.36,295,0.27,3695
323.42832,-505.0181383,0.36,295,0.27,3695
338.81616,-528.5427861,0.36,295,0.27,3695
353.4984,-552.599592,0.36,295,0.27,3695
368.17272,-575.5563467,0.36,295,0.27,3695
382.851,-598.8401123,0.36,295,0.27,3695
397.53144,-622.5312005,0.36,295,0.27,3695
