material,R,stress (Gpa),grain size (nm),P,T
Mo,0.0567,-1.1,50,0.11,300
Mo,0.0986,-1.3,50,0.11,300
Mo,0.18,-1.6,50,0.11,300
Mo,0.21,-2.4,50,0.11,300
Mo,0.289,-1.04,50,0.17,300
Mo,0.059,-0.51,50,0.17,300
Mo,0.105,-0.73,50,0.17,300
Mo,0.205,-0.88,50,0.17,300
Mo,0.0552,1,50,0.24,300
Mo,0.0938,0.85,50,0.24,300
Mo,0.18,-0.6,50,0.24,300
Mo,0.2279,-0.7,50,0.24,300
Mo,0.034,1.46,50,0.43,300
Mo,0.0569,3.33,50,0.43,300
Mo,0.06,1.47,50,0.43,300
Mo,0.111,3.03,50,0.43,300
Mo,0.216,2.84,50,0.43,300
Mo,0.311,1.44,50,0.43,300
