material,R,stress (Gpa), grain size (nm),P,T
TiN,0.017778,-0.091873852,14,0.13,293.15
TiN,0.053334,-0.056249522,14,0.13,293.15
TiN,0.08889,-0.079311509,14,0.13,293.15
TiN,0.124446,-0.122141973,14,0.13,293.15
TiN,0.008889,0.093705141,14,0.4,293.15
TiN,0.035556,0.104061199,14,0.4,293.15
TiN,0.053334,0.153748116,14,0.4,293.15
TiN,0.08889,0.080436495,14,0.4,293.15
ZrN,0.04242,-0.27974226,11,0.13,293.15
ZrN,0.055146,-0.993725746,11,0.13,293.15
ZrN,0.08484,-1.307755776,11,0.13,293.15
ZrN,0.12726,-1.504007544,11,0.13,293.15
ZrN,0.16968,-1.274163131,11,0.13,293.15
ZrN,0.25452,-1.722261512,11,0.13,293.15
ZrN,0.284214,-2.036845476,11,0.13,293.15
ZrN,0.305424,-1.677340353,11,0.13,293.15
ZrN,0.33936,-1.243615433,11,0.13,293.15
ZrN,0.04242,0.032138378,11,0.27,293.15
ZrN,0.08484,-0.193599717,11,0.27,293.15
ZrN,0.16968,-0.131423857,11,0.27,293.15
ZrN,0.25452,-0.263895437,11,0.27,293.15
ZrN,0.2910012,-0.4429535,11,0.27,293.15
ZrN,0.04242,0.087223008,11,0.4,293.15
ZrN,0.08484,0.106671381,11,0.4,293.15
ZrN,0.12726,0.075436115,11,0.4,293.15
ZrN,0.16968,0.165016502,11,0.4,293.15
ZrN,0.25452,0.11452931,11,0.4,293.15
ZrN,0.04242,0.103724658,11,0.67,293.15
ZrN,0.08484,0.131423857,11,0.67,293.15
ZrN,0.12726,0.106082037,11,0.67,293.15
ZrN,0.16968,0.166489863,11,0.67,293.15
ZrN,0.25452,0.171499293,11,0.67,293.15
TiZrN2,0.009999,-1.428726873,14,0.13,293.15
TiZrN2,0.03333,-0.667720372,14,0.13,293.15
TiZrN2,0.049995,-0.249970597,14,0.13,293.15
TiZrN2,0.06666,-0.502318632,14,0.13,293.15
TiZrN2,0.089991,-1.013438995,14,0.13,293.15
TiZrN2,0.009999,0.470047005,14,0.27,293.15
TiZrN2,0.016665,-0.001358536,14,0.27,293.15
TiZrN2,0.03333,0.350589859,14,0.27,293.15
TiZrN2,0.049995,0.311978398,14,0.27,293.15
TiZrN2,0.06666,0.362931893,14,0.27,293.15
TiZrN2,0.083325,0.833968012,14,0.27,293.15
TiZrN2,0.09999,0.858585859,14,0.27,293.15
TiZrN2,0.0056661,0.53142726,14,0.4,293.15
TiZrN2,0.016665,0.251329133,14,0.4,293.15
TiZrN2,0.03333,0.317218122,14,0.4,293.15
TiZrN2,0.049995,0.391031903,14,0.4,293.15
TiZrN2,0.06666,0.561414941,14,0.4,293.15
TiZrN2,0.083325,1.644371797,14,0.4,293.15
TiZrN2,0.096657,1.051694135,14,0.4,293.15
